Kategori,Pesan
spam,SELAMAT! Anda memenangkan hadiah Rp50.000.000. Klaim di sini: http://promo-hadiahnya-secararesmi.online/claim
spam,Ketik “YA” ke email ini dan dapatkan kesempatan memenangkan iPhone 15 Pro Max!!! Promo terbatas hanya hari ini.
spam,"Peringatan! Email Anda digunakan untuk login di perangkat Samsung SM-A035F. Jika bukan Anda, klik untuk mengamankan: http://secure-login-check.com"
spam,"Transaksi sebesar Rp4.275.000 telah menunggu persetujuan Anda. Jika Anda tidak melakukan transaksi ini, segera lakukan validasi keamanan"
spam,Email ini adalah pemberitahuan bahwa data Anda berpotensi bocor.   Amankan akun Anda: http://proteksi-akun-online.org
spam,"Hai, Seller! Mau tips jualan di momen Promo Guncang 11.11 dari Seller Ambassador TikTok Shop dan Tokopedia, Barkah Setiawan, Owner Sneakers Flash? Kita akan kupas tuntas tipsnya di TikTok LIVE https://www.tiktok.com/@tokopedia_ttsselleredu Jangan sampai ketinggalan sesinya ya, Seller!"
spam,Selamat! Anda dipilih secara acak dari 200 ribu pengguna untuk mendapat akses ke program cashback otomatis sebesar 300 ribu rupiah.
spam,Informasi penting: ada aktivitas pembayaran tertunda pada akun Anda. Pastikan data yang digunakan sudah benar sebelum diproses.
spam,"Akun email Anda 80% penuh. Jika tidak diperbarui dalam 12 jam, email baru tidak dapat diterima. Perbarui kapasitas di: http://mail-upgrade-storage.net"
spam,"Akun bank Anda baru saja diblokir karena aktivitas mencurigakan. Untuk membuka kembali akses Anda, silakan login melalui link berikut: https://verifikasi-akun-bank.com. Jika Anda tidak segera mengonfirmasi, rekening akan dibekukan permanen."
spam,Dapatkan akses premium gratis ke semua layanan streaming favorit Anda selama 1 bulan penuh! Cukup klik link: https://akses-premium-gratis.com dan masukkan email Anda. Penawaran ini hanya berlaku untuk 100 pendaftar pertama.
spam,"Perangkat Anda terinfeksi oleh virus yang dapat mencuri data pribadi. Unduh antivirus resmi kami di https://proteksi-device.com dan hapus semua ancaman dalam waktu kurang dari 5 menit. Jika tidak dilakukan, perangkat Anda akan terkunci secara otomatis."
spam,"Akun facebook Anda terdeteksi login mencurigakan dari lokasi asing. Untuk mengamankan akun, hubungi tim keamanan di nomor 0822-3344-5566. Jika tidak segera dicek, akun bisa diblokir permanen. Kami menyediakan perlindungan tambahan selama satu minggu bagi pengguna yang melakukan verifikasi segera. Pastikan segera menghubungi nomor di atas untuk mengamankan akun Anda."
spam,"Hai ftrtlfaii2103, Kabar gembira✨ Sebagai bagian dari upaya kami untuk memberikan lebih banyak manfaat kepada para seller dan pembeli di platform kami, fungsi Integrasi ke Tokopedia kini tersedia."
spam,"Butuh lagu ballad buat nemenin perjalanan atau lagu andalan buat nge-gym? Putar semua lagu yang kamu mau kapan saja, dengan 3 bulan Spotify Premium cuma Rp54.990."
spam,Paket liburan gratis sudah dipersiapkan untuk pengguna terpilih. Pastikan Anda mengamankan slot sebelum kuota penuh
spam,"Halo, kami tidak dapat memproses pembayaran Spotify Premium Anda bulan ini. Akun Anda akan diturunkan menjadi Free dalam 24 jam. Klik tautan verifikasi berikut untuk memperbarui detail pembayaran Anda sebelum layanan dihentikan."
spam,Hanya hari ini! Nikmati Spotify Premium dengan diskon 70%. Masuk ke halaman penawaran khusus ini untuk mengaktifkan promo Anda.
spam,Akses premium dihentikan sementara karena masalah pada akun Anda. Anda dapat memulihkannya dengan melakukan verifikasi identitas. Proses ini penting untuk keamanan Anda.
spam,"Akun Anda mendeteksi aktivitas login dari lokasi yang tidak biasa. Untuk menghindari batasan akun, Anda perlu memastikan bahwa aktivitas tersebut valid. Harap konfirmasi demi keamanan."
spam,"Subscribe sekarang: https://www.youtube.com/@tokopedia_ttssellerdu Jangan sampai ketinggalan karena akan ada banyak tips, tutorial, dan informasi seru buat kamu. Sampai bertemu di YouTube ya, Seller!"
spam,"Hi, seller ShopTokopedia!Berpartisipasilah di program Growth Lab dan dapatkan hadiah hingga Rp 6,300,000!Growth Lab adalah program bertahap yang akan membimbing Anda untuk bisa belajar berjualan dan mengelola toko anda di ShopTokopedia!"
spam,"Hi Fitrotul, (MR 2728690239200) Bumi mengelilingi MATAHARI bukan karena susah move on, tapi karena MATAHARINYA LAGI BANYAK DISKON! BERLIMPAH HEMAT s/d 50% & BELI 1 GRATIS 1 "
spam,"Di tengah maraknya penipuan online, kamu harus selalu menjaga data pribadi kamu. Apa saja sih yang harus dirahasiakan? Nama lengkap, NIK/Kartu Keluarga, Nama Gadis Ibu, alamat email, password, kode PIN, dan kode OTP. Jangan sampai data kamu disalahgunakan oleh oknum tidak bertanggung jawab untuk: mengupgrade fitur tak diinginkan, mengajukan atas nama kamu, mengambil alih akun, serta melakukan transaksi yang tidak kamu kehendaki ."
spam,"Hi Fitrotul, (MR 2728690239200) Gunakan Hak Pilihmu di Pesta Demokrasi Rabu ini! Tunjukan TINTA JARIMU & nikmati TAMBAHAN DISKON +10% BELANJA HEMAT di MATAHARI Cuma 1 HARI, 14 FEBRUARI!"
spam,"Hai, Sobat ELS! Laptop lemot bikin hidupmu repot?   Mau kerja cepat, laptopnya malah ngadat! Optimalkan performa laptopmu: Sekarang!   Dapatkan promo menarik buat kamu yang pingin ngegame makin seru, ngerender ga perlu lama-lama. Yuk, bikin laptopmu auto ngebut dengan upgrade Memory/SSD laptopmu dan dapatkan diskon hingga 50%*.Informasi lebih lanjut dapat menghubungi kami di sini. *S&K Berlaku"
spam,"Yth. Fitrotul Faizah, Penyimpanan iCloud Anda penuh. Karena paket penyimpanan Anda telah terlampaui, dokumen, kontak, dan data perangkat Anda tidak akan dicadangkan lagi ke iCloud. Selain itu, foto dan video Anda tidak akan diunggah ke Foto iCloud. iCloud Drive dan app dengan iCloud diaktifkan tidak akan diperbarui pada semua perangkat Anda.   Untuk terus menggunakan layanan iCloud ini, Anda perlu meningkatkan ke iCloud+ atau mengurangi kapasitas penyimpanan yang sedang digunakan."
spam,"Sobat BRI, kini kamu bisa buka Tabungan BritAma Valas langsung di BRImo. Nikmati transaksi mudah, kurs kompetitif untuk 10 mata uang, bonus e-voucher hingga 1 juta, serta proteksi PIJAR 1 tahun selama periode program"
